group_id,source_type,member_count,selected_primary_path,selected_primary_name,primary_quality_score,primary_size_mb,reason,confidence
G0046,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Martin Garrix - Animals.mp3,Martin Garrix - Animals.mp3,65,6.1,quality=65; size=6.1MB; not temp file; margin=1000,high
G0047,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Michael Jackson - Billie Jean.mp3,Michael Jackson - Billie Jean.mp3,65,10.0,quality=65; size=10.0MB; not temp file; margin=0,low
G0048,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Mike Posner - I Took A Pill In Ibiza.mp3,Mike Posner - I Took A Pill In Ibiza.mp3,65,7.4,quality=65; size=7.4MB; not temp file; margin=1,low
G0049,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Bad Booty ｜ Official Video.mp3,MIRA - Bad Booty ｜ Official Video.mp3,52,5.4,quality=52; size=5.4MB; not temp file; margin=0,low
G0050,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Come With Me.mp3,MIRA - Come With Me.mp3,60,5.5,quality=60; size=5.5MB; not temp file; margin=0,low
G0051,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Duro ｜ Lyric Video.mp3,MIRA - Duro ｜ Lyric Video.mp3,57,6.1,quality=57; size=6.1MB; not temp file; margin=0,low
G0052,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ladida ｜ Lyric Video.mp3,MIRA - Ladida ｜ Lyric Video.mp3,57,6.7,quality=57; size=6.7MB; not temp file; margin=0,low
G0053,collision,3,C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Love Again.mp3,MIRA - Love Again.mp3,60,5.5,quality=60; size=5.5MB; not temp file; margin=0,low
G0054,collision,3,"C:\Users\suppo\Downloads\New Music\Top1000\MIRA - Ring, Ring ｜ Official Video.mp3","MIRA - Ring, Ring ｜ Official Video.mp3",52,5.0,quality=52; size=5.0MB; not temp file; margin=0,low
G0055,collision,2,"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Shook Ones, Pt. II.mp3","Mobb Deep - Shook Ones, Pt. II.mp3",65,8.8,quality=65; size=8.8MB; not temp file; margin=1000,high
G0056,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Survival of the Fittest.mp3,Mobb Deep - Survival of the Fittest.mp3,65,7.5,quality=65; size=7.5MB; not temp file; margin=1000,high
G0057,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - Hate Me Now ft. Puff Daddy.mp3,Nas - Hate Me Now ft. Puff Daddy.mp3,65,9.0,quality=65; size=9.0MB; not temp file; margin=1000,high
G0058,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - Nas Is Like.mp3,Nas - Nas Is Like.mp3,60,7.4,quality=60; size=7.4MB; not temp file; margin=500,high
G0059,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Naughty by Nature - Hip Hop Hooray.mp3,Naughty by Nature - Hip Hop Hooray.mp3,65,9.6,quality=65; size=9.6MB; not temp file; margin=1000,high
